order_id,order_date,region,country,category,product,channel,quantity,unit_price,discount_rate,revenue,customer_segment,delivery_days
ORD-101256,2023-01-06,North America,Canada,Beauty,Argan Shampoo,web,1,130.03,0.0,130.03,Consumer,2.0
ORD-103279,2023-01-06,EMEA,Italy,Home,Cast Iron Pan,marketplace,2,122.05,0.0,244.1,SMB,1.0
ORD-100697,2023-01-07,North America,United States,Beauty,Matte Lipstick,web,1,47.31,0.05,44.94,Consumer,4.0
ORD-102161,2023-01-07,EMEA,Germany,Beauty,Matte Lipstick,retail,3,86.36,0.0,259.08,Consumer,3.0
ORD-100095,2023-01-08,EMEA,France,Electronics,4K Monitor,retail,4,216.81,0.1,780.52,SMB,5.0
ORD-103190,2023-01-08,North America,United States,Sports,Trail Runners,web,3,169.81,0.05,483.96,Enterprise,4.0
ORD-103676,2023-01-08,North America,Canada,Electronics,Noise Buds,marketplace,2,275.0,0.0,550.0,Consumer,3.0
ORD-103727,2023-01-08,EMEA,France,Sports,Yoga Mat Pro,marketplace,3,162.32,0.0,486.96,Consumer,9.0
ORD-100424,2023-01-09,APAC,India,Home,Espresso Maker,marketplace,3,118.79,0.1,320.73,Consumer,5.0
ORD-100677,2023-01-09,APAC,Japan,Home,Cast Iron Pan,retail,3,127.94,0.0,383.82,SMB,4.0
ORD-101868,2023-01-09,EMEA,Germany,Beauty,Serum Vitamin C,web,1,25.7,0.1,23.13,Consumer,1.0
ORD-101173,2023-01-10,North America,Mexico,Home,Desk Lamp,retail,4,92.92,0.0,371.68,SMB,3.0
ORD-102888,2023-01-10,LATAM,Argentina,Electronics,Noise Buds,partner,1,290.38,0.0,290.38,Consumer,4.0
ORD-103401,2023-01-10,EMEA,France,Sports,Yoga Mat Pro,web,4,114.31,0.0,457.24,Consumer,4.0
ORD-104154,2023-01-10,North America,Canada,Sports,Yoga Mat Pro,web,4,230.22,0.1,828.79,Consumer,5.0
ORD-104582,2023-01-10,EMEA,Spain,Electronics,Smart Watch,web,2,330.82,0.15,562.39,Consumer,2.0
ORD-100698,2023-01-11,EMEA,Germany,Electronics,Noise Buds,marketplace,2,313.88,0.0,627.76,Consumer,10.0
ORD-100899,2023-01-11,APAC,Singapore,Sports,Yoga Mat Pro,partner,3,75.58,0.1,204.07,SMB,2.0
ORD-102141,2023-01-11,North America,United States,Beauty,Argan Shampoo,web,2,59.13,0.15,100.52,SMB,2.0
ORD-102944,2023-01-11,EMEA,Italy,Electronics,Smart Watch,retail,2,306.51,0.05,582.37,SMB,4.0
ORD-103791,2023-01-11,North America,Mexico,Electronics,Laptop Air 13,web,3,499.51,0.0,1498.53,Consumer,3.0
ORD-103858,2023-01-11,APAC,Singapore,Home,Cotton Duvet,web,5,78.32,0.1,352.44,SMB,5.0
ORD-103959,2023-01-11,North America,Canada,Sports,Trail Runners,partner,3,129.89,0.15,331.22,Enterprise,1.0
ORD-101847,2023-01-12,LATAM,Brazil,Beauty,Serum Vitamin C,web,6,30.47,0.0,182.82,SMB,11.0
ORD-100036,2023-01-13,LATAM,Argentina,Sports,Carbon Racket,marketplace,3,115.96,0.0,347.88,Consumer,7.0
ORD-100386,2023-01-13,EMEA,Germany,Home,Espresso Maker,marketplace,3,61.58,0.0,184.74,Consumer,7.0
ORD-100477,2023-01-13,North America,Mexico,Grocery,Arabica Beans 1kg,partner,3,22.95,0.0,68.85,Consumer,2.0
ORD-100988,2023-01-13,North America,Mexico,Beauty,Matte Lipstick,web,3,51.71,0.05,147.37,SMB,2.0
ORD-103322,2023-01-13,APAC,Japan,Home,Cast Iron Pan,web,9,120.44,0.15,921.37,Enterprise,5.0
ORD-103470,2023-01-13,North America,Canada,Home,Desk Lamp,marketplace,3,110.19,0.0,330.57,SMB,2.0
ORD-104119,2023-01-13,EMEA,Italy,Electronics,4K Monitor,web,1,201.92,0.05,191.82,SMB,6.0
ORD-100452,2023-01-14,LATAM,Brazil,Home,Espresso Maker,web,8,69.28,0.15,471.1,Enterprise,12.0
ORD-101370,2023-01-14,LATAM,Chile,Beauty,Argan Shampoo,web,2,50.93,0.0,101.86,SMB,7.0
ORD-101676,2023-01-14,EMEA,United Kingdom,Electronics,4K Monitor,retail,1,74.8,0.05,71.06,Consumer,2.0
ORD-102284,2023-01-14,North America,United States,Electronics,Smart Watch,web,2,176.23,0.1,317.21,Consumer,2.0
ORD-102411,2023-01-14,North America,Mexico,Home,Desk Lamp,partner,2,77.58,0.1,139.64,SMB,3.0
ORD-100801,2023-01-15,North America,Mexico,Home,Cotton Duvet,web,3,132.76,0.0,398.28,Consumer,6.0
ORD-101513,2023-01-15,EMEA,Spain,Grocery,Olive Oil 750ml,web,12,16.92,0.05,192.89,Enterprise,1.0
ORD-102712,2023-01-15,APAC,Singapore,Sports,Trail Runners,web,3,67.54,0.05,192.49,Consumer,10.0
ORD-104471,2023-01-15,North America,United States,Beauty,Argan Shampoo,web,2,25.72,0.2,41.15,SMB,4.0
ORD-100597,2023-01-16,North America,Mexico,Grocery,Olive Oil 750ml,partner,2,19.87,0.0,39.74,Consumer,1.0
ORD-102034,2023-01-16,North America,Canada,Electronics,4K Monitor,web,3,471.59,0.0,1414.77,Consumer,1.0
ORD-103418,2023-01-16,EMEA,Germany,Electronics,4K Monitor,retail,1,662.11,0.05,629.0,SMB,3.0
ORD-103966,2023-01-16,LATAM,Brazil,Electronics,Noise Buds,web,4,315.64,0.0,1262.56,SMB,6.0
ORD-104915,2023-01-16,North America,Mexico,Grocery,Arabica Beans 1kg,web,3,17.2,0.0,51.6,SMB,4.0
ORD-103115,2023-01-17,APAC,India,Home,Cotton Duvet,retail,5,93.3,0.1,419.85,Consumer,4.0
ORD-103884,2023-01-17,EMEA,Italy,Sports,Carbon Racket,marketplace,5,172.76,0.0,863.8,Consumer,4.0
ORD-104050,2023-01-17,LATAM,Chile,Home,Espresso Maker,web,4,125.23,0.1,450.83,Enterprise,6.0
ORD-100221,2023-01-18,EMEA,France,Home,Cast Iron Pan,marketplace,4,93.95,0.0,375.8,Consumer,7.0
ORD-100295,2023-01-18,EMEA,France,Home,Espresso Maker,web,4,65.2,0.05,247.76,Consumer,2.0
ORD-102357,2023-01-18,EMEA,Spain,Electronics,4K Monitor,marketplace,1,238.71,0.0,238.71,SMB,2.0
ORD-102685,2023-01-18,North America,United States,Sports,Trail Runners,web,1,203.22,0.0,203.22,Consumer,1.0
ORD-103449,2023-01-18,North America,United States,Home,Espresso Maker,web,4,31.55,0.0,126.2,Consumer,4.0
ORD-104261,2023-01-18,North America,United States,Home,Cast Iron Pan,web,2,48.97,0.2,78.35,Consumer,2.0
ORD-104676,2023-01-18,North America,Canada,Electronics,4K Monitor,retail,1,387.23,0.05,367.87,Consumer,3.0
ORD-100059,2023-01-19,North America,Canada,Home,Cotton Duvet,web,5,102.64,0.0,513.2,SMB,6.0
ORD-101722,2023-01-19,EMEA,France,Sports,Trail Runners,partner,1,47.04,0.1,42.34,Consumer,2.0
ORD-101941,2023-01-19,North America,Mexico,Electronics,Laptop Air 13,retail,1,148.17,0.1,133.35,Consumer,2.0
ORD-104273,2023-01-19,EMEA,France,Sports,Carbon Racket,marketplace,1,48.38,0.0,48.38,SMB,6.0
ORD-100772,2023-01-20,APAC,Australia,Home,Cotton Duvet,marketplace,6,87.46,0.05,498.52,SMB,2.0
ORD-101600,2023-01-20,LATAM,Chile,Home,Cast Iron Pan,retail,4,89.99,0.05,341.96,SMB,8.0
ORD-101935,2023-01-20,North America,United States,Electronics,Smart Watch,web,3,66.3,0.0,198.9,Consumer,1.0
ORD-102416,2023-01-20,North America,Mexico,Electronics,Smart Watch,web,6,196.78,0.1,1062.61,Consumer,4.0
ORD-102732,2023-01-20,North America,Canada,Home,Espresso Maker,web,3,43.49,0.05,123.95,Consumer,6.0
ORD-103738,2023-01-20,EMEA,France,Home,Cast Iron Pan,web,2,173.87,0.0,347.74,Consumer,6.0
ORD-104347,2023-01-20,APAC,Australia,Beauty,Argan Shampoo,marketplace,6,65.49,0.15,334.0,Consumer,7.0
ORD-101626,2023-01-21,EMEA,United Kingdom,Electronics,Laptop Air 13,web,3,534.44,0.0,1603.32,Consumer,5.0
ORD-104138,2023-01-21,APAC,India,Electronics,Smart Watch,marketplace,3,232.34,0.05,662.17,Consumer,5.0
ORD-104690,2023-01-21,APAC,Japan,Sports,Carbon Racket,retail,2,97.3,0.05,184.87,SMB,8.0
ORD-104715,2023-01-21,North America,Canada,Home,Cotton Duvet,marketplace,1,99.83,0.0,99.83,Consumer,4.0
ORD-103543,2023-01-22,EMEA,Germany,Home,Cotton Duvet,partner,4,120.05,0.05,456.19,SMB,5.0
ORD-104628,2023-01-22,North America,Canada,Beauty,Matte Lipstick,retail,3,38.46,0.05,109.61,SMB,2.0
ORD-100155,2023-01-23,LATAM,Argentina,Home,Cast Iron Pan,retail,2,128.89,0.0,257.78,Consumer,
ORD-102744,2023-01-23,APAC,Japan,Sports,Trail Runners,retail,4,121.03,0.1,435.71,SMB,
ORD-103747,2023-01-23,LATAM,Chile,Grocery,Dark Chocolate 90%,web,1,29.86,0.05,28.37,Consumer,6.0
ORD-104215,2023-01-23,North America,Canada,Sports,Trail Runners,partner,1,109.11,0.0,109.11,Consumer,2.0
ORD-104589,2023-01-23,EMEA,France,Beauty,Argan Shampoo,web,2,44.29,0.0,88.58,Consumer,6.0
ORD-104684,2023-01-23,North America,Mexico,Beauty,Matte Lipstick,web,2,54.49,0.0,108.98,Consumer,4.0
ORD-100037,2023-01-24,North America,United States,Electronics,Noise Buds,web,4,333.73,0.05,1268.17,SMB,2.0
ORD-102154,2023-01-24,APAC,Japan,Sports,Carbon Racket,marketplace,2,117.86,0.0,235.72,SMB,4.0
ORD-103632,2023-01-24,North America,United States,Beauty,Argan Shampoo,retail,2,49.98,0.0,99.96,SMB,3.0
ORD-104181,2023-01-24,North America,Canada,Beauty,Matte Lipstick,partner,1,50.8,0.05,48.26,Consumer,
ORD-104286,2023-01-24,North America,United States,Home,Desk Lamp,partner,2,90.28,0.1,162.5,Consumer,5.0
ORD-104349,2023-01-24,North America,Mexico,Electronics,Smart Watch,retail,2,429.17,0.0,858.34,Consumer,4.0
ORD-104531,2023-01-24,North America,Canada,Beauty,Matte Lipstick,web,2,45.15,0.0,90.3,Consumer,3.0
ORD-104942,2023-01-24,North America,Mexico,Electronics,Laptop Air 13,web,1,219.8,0.05,208.81,Consumer,3.0
ORD-100448,2023-01-25,North America,Canada,Electronics,4K Monitor,retail,3,225.19,0.0,675.57,SMB,3.0
ORD-100450,2023-01-25,APAC,Australia,Grocery,Arabica Beans 1kg,web,2,30.01,0.0,60.02,Consumer,8.0
ORD-100750,2023-01-25,APAC,Australia,Electronics,4K Monitor,web,3,139.5,0.0,418.5,Consumer,11.0
ORD-101667,2023-01-25,North America,Canada,Home,Espresso Maker,web,3,244.25,0.0,732.75,SMB,4.0
ORD-102287,2023-01-25,LATAM,Chile,Electronics,Noise Buds,marketplace,4,281.96,0.15,958.66,Consumer,7.0
ORD-102489,2023-01-25,North America,United States,Beauty,Matte Lipstick,marketplace,3,25.68,0.15,65.48,Enterprise,2.0
ORD-104432,2023-01-25,North America,Canada,Sports,Yoga Mat Pro,marketplace,3,186.28,0.0,558.84,Consumer,3.0
ORD-104888,2023-01-25,EMEA,Germany,Home,Cast Iron Pan,retail,1,124.13,0.05,117.92,SMB,3.0
ORD-104978,2023-01-25,North America,Mexico,Home,Espresso Maker,marketplace,2,84.43,0.05,160.42,Consumer,3.0
ORD-101062,2023-01-26,APAC,Singapore,Home,Cast Iron Pan,marketplace,3,48.99,0.2,117.58,SMB,9.0
ORD-101751,2023-01-26,EMEA,France,Home,Cast Iron Pan,web,5,117.45,0.05,557.89,Consumer,1.0
ORD-101808,2023-01-26,North America,Canada,Electronics,Smart Watch,web,2,914.03,0.0,1828.06,Consumer,4.0
ORD-101954,2023-01-26,North America,Canada,Electronics,Laptop Air 13,marketplace,2,250.42,0.1,450.76,SMB,1.0
ORD-103004,2023-01-26,EMEA,United Kingdom,Grocery,Arabica Beans 1kg,web,3,10.65,0.0,31.95,Consumer,5.0
ORD-104851,2023-01-26,APAC,Australia,Beauty,Argan Shampoo,retail,3,54.57,0.1,147.34,Consumer,8.0
ORD-104961,2023-01-26,North America,Mexico,Sports,Yoga Mat Pro,web,4,247.75,0.0,991.0,Consumer,5.0
ORD-101056,2023-01-27,EMEA,France,Beauty,Argan Shampoo,retail,4,39.31,0.0,157.24,Consumer,3.0
ORD-101855,2023-01-27,EMEA,United Kingdom,Grocery,Arabica Beans 1kg,web,2,18.68,0.1,33.62,Consumer,3.0
ORD-102045,2023-01-27,APAC,Singapore,Grocery,Dark Chocolate 90%,web,3,22.04,0.05,62.81,Consumer,10.0
ORD-102618,2023-01-27,EMEA,Italy,Electronics,Smart Watch,partner,5,118.42,0.05,562.5,Consumer,5.0
ORD-103216,2023-01-27,EMEA,United Kingdom,Grocery,Olive Oil 750ml,web,4,24.96,0.0,99.84,SMB,5.0
ORD-102834,2023-01-28,North America,United States,Beauty,Serum Vitamin C,partner,3,49.96,0.1,134.89,Consumer,5.0
ORD-103036,2023-01-28,EMEA,Italy,Electronics,Noise Buds,web,1,372.01,0.2,297.61,Consumer,3.0
ORD-101680,2023-01-29,LATAM,Argentina,Electronics,4K Monitor,marketplace,1,355.64,0.05,337.86,Consumer,4.0
ORD-102430,2023-01-29,EMEA,Italy,Sports,Trail Runners,retail,5,78.01,0.0,390.05,Consumer,8.0
ORD-102678,2023-01-29,EMEA,France,Sports,Carbon Racket,web,4,124.42,0.05,472.8,SMB,1.0
ORD-103932,2023-01-29,North America,Canada,Home,Espresso Maker,web,3,94.2,0.0,282.6,Consumer,4.0
ORD-104462,2023-01-29,North America,United States,Sports,Trail Runners,web,3,95.73,0.0,287.19,Consumer,4.0
ORD-104463,2023-01-29,EMEA,Germany,Home,Desk Lamp,web,3,40.87,0.0,122.61,Consumer,3.0
ORD-104686,2023-01-29,North America,Canada,Home,Espresso Maker,retail,3,68.72,0.1,185.54,Consumer,2.0
ORD-104929,2023-01-29,North America,Mexico,Grocery,Dark Chocolate 90%,retail,1,25.93,0.15,22.04,Consumer,7.0
ORD-100419,2023-01-30,North America,United States,Electronics,4K Monitor,marketplace,3,245.58,0.0,736.74,SMB,1.0
ORD-101663,2023-01-30,APAC,Australia,Electronics,Laptop Air 13,web,3,93.47,0.0,280.41,SMB,14.0
ORD-102121,2023-01-30,North America,Canada,Beauty,Matte Lipstick,web,1,15.62,0.05,14.84,Consumer,2.0
ORD-104433,2023-01-30,North America,Canada,Electronics,Laptop Air 13,web,6,251.13,0.05,1431.44,Enterprise,2.0
ORD-104615,2023-01-30,North America,United States,Electronics,Noise Buds,web,2,379.46,0.1,683.03,Consumer,3.0
ORD-100432,2023-01-31,North America,Canada,Grocery,Olive Oil 750ml,partner,4,26.96,0.0,107.84,Consumer,1.0
ORD-101180,2023-01-31,North America,Mexico,Electronics,Smart Watch,marketplace,4,331.68,0.05,1260.38,SMB,4.0
ORD-102123,2023-01-31,APAC,Singapore,Sports,Yoga Mat Pro,web,3,137.74,0.0,413.22,SMB,9.0
ORD-102313,2023-01-31,EMEA,France,Beauty,Serum Vitamin C,retail,2,34.29,0.0,68.58,Consumer,1.0
ORD-102560,2023-01-31,North America,United States,Sports,Carbon Racket,web,4,171.08,0.0,684.32,Consumer,1.0
ORD-102727,2023-01-31,EMEA,France,Home,Cotton Duvet,web,3,72.07,0.0,216.21,Consumer,4.0
ORD-103303,2023-01-31,LATAM,Brazil,Sports,Carbon Racket,web,2,59.71,0.05,113.45,SMB,13.0
ORD-100279,2023-02-01,LATAM,Brazil,Beauty,Serum Vitamin C,marketplace,3,49.52,0.05,141.13,Consumer,5.0
ORD-100333,2023-02-01,APAC,Australia,Electronics,Smart Watch,retail,10,202.52,0.0,2025.2,Enterprise,6.0
ORD-100522,2023-02-01,EMEA,Germany,Home,Desk Lamp,retail,1,59.55,0.1,53.6,Consumer,3.0
ORD-100646,2023-02-01,APAC,India,Sports,Carbon Racket,web,4,157.84,0.0,631.36,Consumer,9.0
ORD-101069,2023-02-01,North America,United States,Electronics,Laptop Air 13,web,1,138.2,0.0,138.2,SMB,3.0
ORD-102061,2023-02-01,North America,Canada,Sports,Yoga Mat Pro,retail,4,259.57,0.0,1038.28,Consumer,5.0
ORD-102534,2023-02-01,APAC,Japan,Sports,Yoga Mat Pro,marketplace,5,266.53,0.0,1332.65,Consumer,11.0
ORD-102995,2023-02-01,North America,Mexico,Home,Desk Lamp,retail,4,103.0,0.2,329.6,Consumer,2.0
ORD-103010,2023-02-01,APAC,India,Electronics,Noise Buds,web,1,263.06,0.1,236.75,Consumer,7.0
ORD-103110,2023-02-01,EMEA,Spain,Electronics,4K Monitor,web,2,216.27,0.15,367.66,SMB,8.0
ORD-103117,2023-02-01,EMEA,France,Home,Desk Lamp,retail,2,40.93,0.0,81.86,Consumer,5.0
ORD-103808,2023-02-01,North America,Canada,Electronics,Noise Buds,marketplace,4,320.05,0.0,1280.2,SMB,5.0
ORD-104309,2023-02-01,EMEA,Germany,Grocery,Arabica Beans 1kg,partner,3,25.59,0.0,76.77,Consumer,1.0
ORD-104870,2023-02-01,EMEA,United Kingdom,Home,Espresso Maker,web,2,54.31,0.0,108.62,Consumer,2.0
ORD-104953,2023-02-01,North America,Mexico,Electronics,4K Monitor,partner,2,378.66,0.1,681.59,Consumer,2.0
ORD-100606,2023-02-02,EMEA,Spain,Home,Desk Lamp,marketplace,3,148.39,0.0,445.17,Consumer,6.0
ORD-101163,2023-02-02,EMEA,France,Beauty,Serum Vitamin C,partner,1,81.65,0.1,73.49,SMB,1.0
ORD-101361,2023-02-02,EMEA,Germany,Beauty,Matte Lipstick,web,2,54.52,0.2,87.23,SMB,7.0
ORD-102157,2023-02-02,EMEA,Spain,Home,Cast Iron Pan,partner,2,51.45,0.2,82.32,SMB,3.0
ORD-103405,2023-02-02,APAC,Japan,Electronics,Laptop Air 13,web,1,120.63,0.0,120.63,Consumer,10.0
ORD-104909,2023-02-02,APAC,Japan,Sports,Trail Runners,web,2,79.09,0.05,150.27,Consumer,5.0
ORD-100009,2023-02-03,APAC,India,Sports,Yoga Mat Pro,web,4,114.16,0.1,410.98,Consumer,8.0
ORD-101540,2023-02-03,North America,Mexico,Electronics,Noise Buds,partner,1,347.64,0.0,347.64,Consumer,1.0
ORD-103019,2023-02-03,North America,Mexico,Electronics,Laptop Air 13,marketplace,2,103.8,0.0,207.6,Consumer,2.0
ORD-103422,2023-02-03,EMEA,Italy,Sports,Carbon Racket,marketplace,2,135.75,0.15,230.78,SMB,6.0
ORD-104172,2023-02-03,North America,Mexico,Home,Cotton Duvet,retail,8,136.53,0.0,1092.24,Enterprise,3.0
ORD-104361,2023-02-03,LATAM,Chile,Beauty,Argan Shampoo,web,2,46.78,0.2,74.85,SMB,5.0
ORD-104667,2023-02-03,North America,Mexico,Beauty,Matte Lipstick,partner,2,47.97,0.1,86.35,Consumer,4.0
ORD-104729,2023-02-03,North America,Canada,Electronics,Smart Watch,retail,4,289.77,0.2,927.26,Enterprise,3.0
ORD-100545,2023-02-04,EMEA,United Kingdom,Electronics,4K Monitor,web,2,161.7,0.05,307.23,SMB,5.0
ORD-101518,2023-02-04,APAC,Japan,Sports,Yoga Mat Pro,retail,2,40.83,0.15,69.41,Consumer,6.0
ORD-102334,2023-02-04,North America,United States,Home,Desk Lamp,web,1,151.68,0.05,144.1,Consumer,3.0
ORD-102884,2023-02-04,North America,Canada,Beauty,Matte Lipstick,web,2,39.95,0.05,75.9,Consumer,3.0
ORD-104571,2023-02-04,APAC,India,Sports,Carbon Racket,marketplace,4,135.4,0.0,541.6,Consumer,9.0
ORD-104878,2023-02-04,LATAM,Brazil,Beauty,Serum Vitamin C,web,2,52.52,0.05,99.79,SMB,8.0
ORD-100136,2023-02-05,North America,United States,Electronics,Smart Watch,web,8,227.04,0.3,1271.42,Enterprise,2.0
ORD-102301,2023-02-05,North America,Mexico,Beauty,Matte Lipstick,retail,2,28.6,0.05,54.34,Consumer,1.0
ORD-104886,2023-02-05,EMEA,France,Sports,Carbon Racket,web,5,171.1,0.15,727.18,Consumer,2.0
ORD-100041,2023-02-06,North America,Mexico,Electronics,Noise Buds,marketplace,2,136.69,0.15,232.37,Consumer,4.0
ORD-101192,2023-02-06,North America,Mexico,Beauty,Serum Vitamin C,marketplace,2,66.27,0.0,132.54,Consumer,4.0
ORD-102553,2023-02-06,EMEA,Spain,Electronics,Laptop Air 13,partner,1,305.51,0.0,305.51,SMB,1.0
ORD-102605,2023-02-06,North America,Mexico,Home,Espresso Maker,retail,4,50.96,0.0,203.84,Consumer,1.0
ORD-102969,2023-02-06,EMEA,France,Electronics,Smart Watch,web,3,619.38,0.0,1858.14,Consumer,2.0
ORD-102992,2023-02-06,LATAM,Brazil,Beauty,Argan Shampoo,web,1,56.05,0.05,53.25,Consumer,7.0
ORD-103151,2023-02-06,APAC,Japan,Beauty,Serum Vitamin C,retail,2,33.58,0.0,67.16,Consumer,8.0
ORD-104298,2023-02-06,North America,United States,Electronics,Smart Watch,web,3,345.97,0.0,1037.91,SMB,3.0
ORD-101458,2023-02-07,North America,Mexico,Sports,Yoga Mat Pro,web,1,165.36,0.0,165.36,SMB,1.0
ORD-101885,2023-02-07,North America,Canada,Home,Cast Iron Pan,web,1,52.96,0.0,52.96,SMB,3.0
ORD-102423,2023-02-07,EMEA,Spain,Sports,Trail Runners,web,3,248.5,0.1,670.95,SMB,5.0
ORD-103970,2023-02-07,EMEA,France,Beauty,Serum Vitamin C,retail,3,78.57,0.1,212.14,Consumer,2.0
ORD-104477,2023-02-07,North America,Canada,Beauty,Argan Shampoo,marketplace,1,48.53,0.0,48.53,SMB,2.0
ORD-100141,2023-02-08,APAC,India,Home,Desk Lamp,web,2,127.11,0.15,216.09,Consumer,
ORD-100261,2023-02-08,APAC,Australia,Beauty,Argan Shampoo,web,2,97.24,0.05,184.76,Consumer,5.0
ORD-100982,2023-02-08,LATAM,Argentina,Electronics,Smart Watch,marketplace,3,113.46,0.0,340.38,Consumer,11.0
ORD-101984,2023-02-08,EMEA,United Kingdom,Home,Cast Iron Pan,retail,2,87.39,0.0,174.78,Consumer,3.0
ORD-103345,2023-02-08,EMEA,Spain,Home,Cast Iron Pan,web,3,58.14,0.0,174.42,Consumer,4.0
ORD-103879,2023-02-08,EMEA,Spain,Beauty,Serum Vitamin C,partner,13,21.88,0.05,270.22,Enterprise,3.0
ORD-101687,2023-02-09,APAC,Singapore,Grocery,Olive Oil 750ml,web,5,31.43,0.05,149.29,Consumer,7.0
ORD-103702,2023-02-09,EMEA,France,Home,Cotton Duvet,web,3,43.77,0.0,131.31,Consumer,5.0
ORD-103984,2023-02-09,EMEA,Spain,Beauty,Serum Vitamin C,web,6,52.57,0.0,315.42,Consumer,3.0
ORD-104693,2023-02-09,APAC,Australia,Home,Desk Lamp,retail,2,146.36,0.0,292.72,Consumer,7.0
ORD-104862,2023-02-09,EMEA,Italy,Grocery,Arabica Beans 1kg,marketplace,2,24.09,0.05,45.77,SMB,6.0
ORD-100505,2023-02-10,North America,United States,Grocery,Olive Oil 750ml,web,2,27.13,0.0,54.26,Consumer,1.0
ORD-100629,2023-02-10,EMEA,Germany,Electronics,Smart Watch,partner,1,531.02,0.05,504.47,Consumer,1.0
ORD-100825,2023-02-10,APAC,India,Sports,Yoga Mat Pro,retail,2,48.13,0.0,96.26,Consumer,4.0
ORD-102031,2023-02-10,EMEA,Germany,Home,Cast Iron Pan,retail,4,104.6,0.0,418.4,SMB,2.0
ORD-103338,2023-02-10,North America,United States,Home,Cotton Duvet,marketplace,2,80.19,0.1,144.34,SMB,6.0
ORD-104292,2023-02-10,North America,Mexico,Sports,Trail Runners,retail,5,104.57,0.0,522.85,Enterprise,1.0
ORD-100211,2023-02-11,APAC,Australia,Sports,Yoga Mat Pro,web,3,222.21,0.0,666.63,Consumer,6.0
ORD-100939,2023-02-11,APAC,Japan,Beauty,Argan Shampoo,marketplace,6,57.63,0.0,345.78,SMB,11.0
